"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000067148",924.421402567129,-0.49911308886291,0.265711115463216,-1.87840500384338,0.0603257815213164,0.369755914169833
"ENSMUSG00000071074",3650.3821758852,-0.307609194231052,0.26016603174894,-1.18235725149506,0.237063977709188,0.700954050104311
"ENSMUSG00000071073",74.0168633386297,0.493702430087478,0.345902431087395,1.42728811860458,0.153496863898114,0.58455197898361
"ENSMUSG00000012296",1246.51198247935,-0.0771127204430066,0.301310306122392,-0.255924602896535,0.798009056745341,0.960456701518644
"ENSMUSG00000097390",17.940285550975,0.208598335747576,0.586373332963642,0.355743216856878,0.722032877030613,0.944395474336714
"ENSMUSG00000047428",10.9721436101771,2.04693331185471,0.825060406503422,2.48094963195427,0.013103288718139,0.156341004223553
"ENSMUSG00000032842",543.99482398887,-0.120539659502047,0.23928337374555,-0.503752758142847,0.614435129154136,0.916570332300493
"ENSMUSG00000015597",1819.31596905758,0.125651577260357,0.371064548304428,0.338624581180064,0.734892562426854,0.947671361004432
"ENSMUSG00000023968",4.63359083544691,1.79228615513325,1.41154318181665,1.26973526436973,0.20417894686714,0.661907776970514
"ENSMUSG00000015599",3.09957891303831,2.90183668670084,1.65903026063955,1.74911618886457,0.0802709374167763,NA
"ENSMUSG00000097560",6.09868891271497,-0.403534615953169,1.13984793276467,-0.354024957499732,0.723320179550156,0.944903200444688
"ENSMUSG00000040658",127.578701123301,0.163679496391991,0.516738212748318,0.316755162196051,0.751429388892469,0.95361332406122
"ENSMUSG00000040327",1327.57725892947,-0.283637765622304,0.431061438671297,-0.65799846652159,0.510539116528349,0.879161764940792
"ENSMUSG00000015605",2909.26722143081,0.362932848983696,0.487020735204878,0.745210260567282,0.456144621002594,0.852487034772961
"ENSMUSG00000023972",12074.0266734397,0.874040678670308,0.259379201751966,3.36974079944204,0.000752389206057376,0.0234454615185432
"ENSMUSG00000003546",661.400940198815,0.340392996505649,0.266714529901682,1.27624466740198,0.201869043322406,0.65932883040165
"ENSMUSG00000002767",1049.07315145301,0.0863727776156964,0.259278533175361,0.33312737679397,0.739038134785688,0.948884395053223
"ENSMUSG00000038545",7045.52822294851,0.070445331191404,0.240336870155229,0.293110795467649,0.769437465397266,0.957220749468729
"ENSMUSG00000023971",670.220623813443,0.285353281714036,0.290634518055016,0.981828599106799,0.326184296216667,0.775672508784662
"ENSMUSG00000063576",2025.68003207367,0.114795095753604,0.231479333441324,0.49591941555639,0.619951267201153,0.918295122174704
"ENSMUSG00000002768",1736.9475100114,-0.0516360803471823,0.271403055240075,-0.190256076157679,0.849108471078819,0.971605372559085
"ENSMUSG00000059409",2401.58291647259,0.0485476009562408,0.199919000418448,0.242836352996095,0.808132172686754,0.964159125547866
"ENSMUSG00000002763",1015.26471449088,-0.530070307602239,0.29198792833757,-1.81538432297592,0.0694648685728683,0.399360505452456
"ENSMUSG00000002769",10.3877736307357,0.053614431342753,0.860621012595693,0.0622973766130205,0.950326017580529,0.988687205688484
"ENSMUSG00000023973",1602.19468189201,-0.40876048561967,0.244536961928205,-1.67156933003723,0.094609276820199,0.469416898266066
"ENSMUSG00000062619",322.562862927567,-0.413776479764722,0.296255147964731,-1.3966895853367,0.162506937375205,0.59800426163977
"ENSMUSG00000063888",1909.15556283532,0.00813917387068211,0.359527426298582,0.0226385340180491,0.981938605994736,0.995953535555546
"ENSMUSG00000036568",1339.56047915165,-0.552237081706931,0.259094169725959,-2.13141454433739,0.0330550057105471,0.270464371817374
"ENSMUSG00000073388",34.6888192909453,-0.00692700384015814,0.532519893580618,-0.0130079719530881,0.989621432700384,0.99807483709056
"ENSMUSG00000036430",422.352636948256,0.0335375345065512,0.32786984472333,0.102289170676405,0.918527150768991,0.983393037963094
"ENSMUSG00000023977",5927.72250559327,-0.291079605704602,0.284896018820771,-1.02170471496732,0.30692067885405,0.762960527702959
"ENSMUSG00000062472",5.79462244039657,-1.02543418075257,0.882629834476674,-1.16179415276685,0.245319089767767,0.709242145528624
"ENSMUSG00000064043",2172.64776631283,-0.221896736513454,0.330437929381271,-0.671523202342252,0.501887283561578,0.872914231516125
"ENSMUSG00000034729",610.471331642325,0.0307887657094487,0.283666522175499,0.108538594802528,0.913568467108519,0.982776901375166
"ENSMUSG00000023982",45.7339482603624,-1.12689745395392,0.637470041620737,-1.76776535425702,0.0771001391211676,0.423315731211835
"ENSMUSG00000096361",5.62597516469766,-0.214682756246621,0.95465893115067,-0.224879010965581,0.822073397943571,0.965837306404787
"ENSMUSG00000034382",28.6233338190156,0.612945644442067,0.590650095834983,1.03774747310515,0.299387637027124,0.757738727066777
"ENSMUSG00000023980",699.724134554817,-0.260012435760009,0.309127798030643,-0.841116319581958,0.400282773446599,0.821458400668377
"ENSMUSG00000034165",2503.47495701884,0.274192643202201,0.252569710415489,1.08561174161043,0.277650802814018,0.739604386340347
"ENSMUSG00000023988",842.504849214161,0.67990550754468,0.469330206523249,1.4486719544036,0.147429216214696,0.576433476078593
"ENSMUSG00000092558",921.596324110206,0.0438946866850033,0.204296800336096,0.214857435910845,0.829878471057877,0.967054366844143
"ENSMUSG00000023984",8.17643445755328,-0.00626575898239251,0.790314096787525,-0.00792818830875169,0.993674287221725,0.998891959892535
"ENSMUSG00000090115",286.278073052752,-0.016835705594961,0.290474796930119,-0.0579592645313432,0.953781076145412,0.989241806624704
"ENSMUSG00000079444",10.7968556976646,0.0949921583430698,0.670327767411089,0.141710015549474,0.887309063521133,0.978688692415536
"ENSMUSG00000084880",17.4513869458368,-0.339469800555528,0.576119871938113,-0.589234666413302,0.555703865159105,0.896255430868245
"ENSMUSG00000096549",7.53592149121653,0.561157343264425,1.04540936772156,0.536782394142356,0.591417934301128,0.909133954371063
"ENSMUSG00000023266",138.639342384245,-0.0357852346455892,0.28787995861843,-0.124306099032829,0.901072918428412,0.981346123185062
"ENSMUSG00000086930",5.33297430610107,0.18755656332754,0.909264888481991,0.206272743733307,0.836577868056443,0.96822738910496
"ENSMUSG00000023990",171.10907733923,-0.0662107791259983,0.276100776507263,-0.239806566151604,0.810480216431455,0.964726705301918
"ENSMUSG00000032717",309.600184343634,0.222596949556107,0.356157815787469,0.624995268077839,0.531974163766313,0.886119413154483
"ENSMUSG00000023991",2424.27074755791,0.117657450067438,0.263985596628158,0.445696475755707,0.655816510655296,0.930283700182412
"ENSMUSG00000041754",9.4088207124161,-0.695698691349001,0.895089566739774,-0.777239191696732,0.437017663605107,0.843585445913802
"ENSMUSG00000023992",7.38825674247954,1.25274435305713,1.27897639883778,0.979489812474659,0.327338019858914,0.776693087487568
"ENSMUSG00000023994",1690.79826758816,-0.0323322730907953,0.248646363103013,-0.130033163112867,0.896540189059521,0.980493174959986
"ENSMUSG00000040771",550.76570621713,-0.29193214550332,0.254411047024576,-1.1474821904063,0.251182389583458,0.715599043107356
"ENSMUSG00000040694",3.35421906615867,0.506927390400491,1.25213822678978,0.404849384480616,0.685588225687592,NA
"ENSMUSG00000092268",9.61598747982073,0.934110210984806,0.760814934926815,1.22777585993979,0.219531120037026,0.682273993749024
